,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,20,CL,1561233250,78,-53.16,-70.91,41.0,13.87
1,Hobart,20,AU,1561233033,86,-42.88,147.33,37.99,10.29
2,Thompson,90,CA,1561233249,77,55.74,-97.86,60.8,10.29
3,Cabedelo,75,BR,1561233285,65,-6.97,-34.84,82.4,16.11
4,Vaini,100,IN,1561233242,93,15.34,74.49,76.77,1.54
5,Martapura,17,ID,1561233272,89,-3.41,114.85,77.14,8.28
6,Jamestown,0,AU,1561233247,78,-33.21,138.6,39.15,5.7
7,Provideniya,90,RU,1561233254,68,64.42,-173.23,55.0,3.78
8,Busselton,0,AU,1561233175,86,-33.64,115.35,57.0,11.77
9,Namibe,100,AO,1561233275,85,-15.19,12.15,71.37,2.33
10,Puerto Ayora,40,EC,1561233252,70,-0.74,-90.35,75.51,11.7
11,Ushuaia,40,AR,1561233251,80,-54.81,-68.31,35.6,5.82
12,Chabahar,0,IR,1561233449,79,25.29,60.65,87.8,4.7
13,Loiza,40,PR,1561233450,79,18.43,-65.88,90.0,13.87
14,Belmonte,98,PT,1561233452,55,40.36,-7.35,57.51,3.94
15,Kutum,99,SD,1561233453,24,14.2,24.66,87.04,13.65
16,Saint-Joseph,0,FR,1561233454,83,43.56,6.97,75.2,3.36
17,Hermanus,74,ZA,1561233242,99,-34.42,19.24,55.99,14.2
18,Yellowknife,75,CA,1561233258,48,62.45,-114.38,64.4,13.87
19,Victoria,75,BN,1561233273,88,5.28,115.24,80.6,16.58
20,Naze,100,NG,1561233276,96,5.43,7.07,70.66,5.99
21,Avarua,4,CK,1561233245,56,-21.21,-159.78,71.6,4.7
22,Samarai,100,PG,1561233285,96,-10.62,150.67,74.8,7.85
23,Narsaq,20,GL,1561233462,50,60.91,-46.05,57.2,16.11
24,Georgetown,20,GY,1561233007,70,6.8,-58.16,84.2,9.17
25,Nikolskoye,0,RU,1561233291,67,59.7,30.79,59.0,6.71
26,Bredasdorp,90,ZA,1561233273,93,-34.53,20.04,55.4,6.93
27,Noumea,90,NC,1561233466,93,-22.28,166.46,64.4,7.87
28,Carnarvon,25,ZA,1561233270,75,-30.97,22.13,42.94,6.67
29,Sukumo,15,JP,1561233468,91,32.94,132.72,65.97,12.5
30,Albany,75,US,1561233041,34,42.65,-73.75,79.0,20.8
31,Inirida,87,CO,1561233471,94,3.87,-67.92,81.45,1.34
32,Ribeira Grande,75,PT,1561233255,77,38.52,-28.7,68.0,2.24
33,Upernavik,99,GL,1561233261,79,72.79,-56.15,34.11,4.14
34,Airai,0,TL,1561233265,85,-8.93,125.41,67.23,4.94
35,Nakusp,93,CA,1561233475,80,50.24,-117.8,64.0,1.01
